gene,FDR_Mtb:RSTR.interaction,mean.log2expression_LTBI.media,mean.log2expression_RSTR.media,mean.log2expression_LTBI.mtb,mean.log2expression_RSTR.mtb,old.DEG
DDX51,0.136568421052632,3.6762381455795485,3.778024805720101,3.392524678579084,3.106889538813438,Y
DENND1C,0.170768888888889,4.973965228476105,4.977694524185466,4.679673553191287,4.472948963074149,
DEXI,0.138729078014184,3.065571935148913,3.2744376635085826,2.643468912030101,2.315650912162759,
DNAJC3,0.166711363636364,7.694563773402458,7.790949698439605,8.314472608927309,8.641110227361835,
DTX2,0.15033164556962,5.862038404421018,5.857033108270906,6.7209418330454636,7.012258907976726,
DUSP2,0.0815033333333333,2.4326595167616696,1.897230820711241,6.239628210031316,6.484825016458367,Y
EBF1,0.136568421052632,1.1007439910526695,0.09586272365010617,2.8308387415016085,3.022177150719268,
EGFL8,0.130247457627119,-2.01815669979374,-1.7265753014576806,-1.502250973197523,-2.5350673876180574,
EIF3E,0.127018181818182,6.595141783176082,6.589364237729315,6.854425932199324,6.701315800518012,
EPB41L3,0.130247457627119,9.046632351698303,9.148850054911591,8.4992138098684,8.94656292631667,Y
ERGIC1,0.178788625592417,6.801044476426565,6.843932687871076,6.538730763886966,6.887661947250258,
ETAA1,0.15033164556962,3.535327752510891,3.4257217776065003,3.5084645536402665,3.0523424095530207,Y
EXOC8,0.173705945945946,5.712631759829496,5.617217534941365,5.969603124167434,6.010796550445612,
FAF1,0.138729078014184,5.193871770888267,5.265040789950303,4.747047126426963,4.560581696870978,
FAM26F,0.16246511627907,3.561465638925869,3.4163115047249555,4.634662014307133,3.5012887616025887,
FBLN5,0.178788625592417,2.3705522045082588,2.7366765996781837,2.164810233922802,1.731018467643993,
FBXO4,0.178788625592417,2.990497079487929,3.218255723362959,2.7640361572262155,2.6130826698897236,
FCAMR,0.0947254237288136,-2.694057568740881,-3.467523678242132,-2.2738261463732408,-1.4940286053198082,
FCAR,0.166711363636364,4.534476522515031,4.401929295395614,6.0110513037456075,6.447299647006136,
FCGR1A,0.06986,4.331312985088539,4.880865787276572,3.8816637113411874,3.1796093796315335,
FCGR1B,0.118224615384615,2.9089630750656568,3.2822154831959165,3.167043879184191,2.277574591003511,
FGD4,0.0484910588235294,5.216272393832784,5.497376374978235,4.212630079367466,4.865508739915187,
FMO5,0.142571428571429,2.0394194112060022,2.230401468068196,1.9464071380197807,1.6485842605799053,
FOXO3,0.188318260869565,6.247439444949999,6.2567400046198305,7.134813566296085,7.439651772858912,
GAB2,0.101614545454545,7.0259731030333645,7.06221173655316,7.164537344947627,7.4252123602716065,Y
GALK2,0.123660229885057,4.8985836318356855,5.0218300021251565,4.375346696643629,4.22156804119043,Y
GCNT1,0.190527272727273,4.077052172953018,4.279346746593991,3.0767920791863697,2.6000702756818392,
GEMIN5,0.190257021276596,4.815615467249036,4.949010124560731,4.488403921493555,4.415435296531341,
GEMIN6,0.149034666666667,3.42163575401372,3.556183039602108,2.395276731783649,2.084631377262075,
GINM1,0.136568421052632,4.895357226883051,4.814121682855924,4.804390333283388,5.024733189587861,Y
GJA9,0.0954753333333333,-0.5503157551623408,0.025960285976309002,0.4698687105636969,-0.59347283601692,Y
GJC2,0.188318260869565,-2.690027003837229,-2.2885501423855126,-2.185242862225997,-2.969901238025285,
GNA12,0.124021123595506,7.175590270545542,7.2239110161293905,6.9815970559499485,7.275935996301628,
GPALPP1,0.136568421052632,4.636869352311473,4.694389376091796,4.53489956176977,4.380483518184314,Y
GPR107,0.118224615384615,7.134497546923011,7.07936721558403,7.251598753150606,7.3821017715146064,
GPR18,0.198832307692308,2.077248508459083,2.1328998577261427,2.3310242800599332,1.8960703382191162,
GPSM3,0.17465,6.8327379832217146,6.77796062765049,6.6758203539335454,6.7654370969952735,
GRB2,0.136568421052632,9.014432468944008,9.04578578085822,8.347773685544722,8.585533742854771,Y
GSTK1,0.020958,6.03917818764788,6.078465523982704,5.714891018645178,5.377842422433026,Y
GTPBP8,0.188318260869565,3.29210253481626,3.4927108000727274,3.1520023236895764,2.9417572652038113,
HDAC6,0.178788625592417,5.550681568081674,5.510425319497031,5.699246087404753,5.824875278391976,
HECA,0.155244444444444,6.88907621108498,6.820300742144684,7.036914849106611,7.160813291967342,
HMGN5,0.114137464788732,2.3506991634945447,2.3194638336254836,2.463063913130436,3.1451970407122536,
HNRNPM,0.155244444444444,7.868618499114115,7.888749007677033,8.086104106398647,8.274547328199159,
HS3ST1,0.0947254237288136,6.255769669172168,6.13810416004561,4.368862091841015,5.05434899879678,Y
HYAL3,0.181960930232558,0.8512515376923594,0.5118720525064313,0.19458995749459707,0.5732984894091334,Y
IFNG,0.0048902,-2.166162905181535,-2.6053271124609267,2.568430640055955,-0.14812732997182726,
IFRD2,0.136568421052632,3.5664984352281515,3.717119363695731,3.4158878642592496,3.2335509036010603,
IKBKB,0.136568421052632,6.163589527912315,6.255064434398225,5.9799885102038335,5.876199482178451,Y
IL1RL1,0.06986,-2.02912971414244,-2.3450076429856415,0.7779358008551195,2.0071300973549704,
IL2,0.010479,-3.136183329880379,-3.279432053961235,-0.22855146238563612,-2.2402840310587027,Y
IRF1,0.185017351598174,7.275826873801852,7.001769037917293,9.73464523497825,8.980631556607188,
IRF8,0.0882442105263158,7.651841515690384,7.637145722409649,8.472525708057072,7.9687689346269766,Y
KBTBD2,0.181960930232558,5.9244482828717,5.799986129793749,6.814814308135697,6.904803925984996,Y
KDELR1,0.127018181818182,5.919557214397085,5.954244794533447,5.666957316017791,5.859452556648775,
KIF1BP,0.0947254237288136,4.936606653913286,4.945866832271085,4.541719593342703,4.766453355957378,
KIFC3,0.06986,5.742589307516646,5.700273441009718,5.6046194789603945,6.0328411560197654,Y
KLHL29,0.118224615384615,1.4208014711463308,1.595710161034395,1.7950200405271357,1.2732251953998412,
LCP1,0.170768888888889,10.17819560182755,10.220261616425537,10.075384153093472,10.293602455118819,
LEPROTL1,0.07984,5.929742937775557,5.885823469081644,5.49405865846462,5.09519406592276,Y
LIMS1,0.136568421052632,7.662452462221733,7.718709046627271,7.647382355523342,7.955946896827429,
LINGO2,0.197251764705882,-2.9307709148195116,-3.615043969679836,-2.3950653770000514,-2.0477090180538426,
MAD2L1BP,0.101614545454545,3.5434745927678115,3.376736759150157,3.7820807617648327,4.009422888678782,Y
MARK4,0.16246511627907,4.609292347117859,4.525367256454035,4.630090334160621,4.76714553317984,
METTL3,0.155244444444444,5.012061826839172,5.053850738788836,4.956131406303112,4.805983770174844,
MIDN,0.178788625592417,6.6855570547731,6.638975959685273,6.880210295438449,7.093615499254397,
MLLT6,0.17465,7.280288686525976,7.100145198086942,8.084061109380253,8.131857282940308,
MMAB,0.190527272727273,3.2146490820854363,3.477159413431598,2.690287625460654,2.5156087107205924,
MPHOSPH9,0.12662125,5.118026838006261,5.186786123098361,4.940321270178614,4.716496350324129,
MRPL1,0.149034666666667,2.8357734211443177,3.0212329974121745,2.4862296035744635,2.276075092444646,
MSL1,0.123282352941176,6.584843210531272,6.54392534437585,6.589603818712718,6.6991268494613045,
MSRB1,0.130247457627119,4.158405679391532,4.213443110290285,3.9707949655906405,3.6460990156178967,
MTAP,0.086852972972973,4.3387560620934975,4.550899182446786,3.3094673036006697,2.9534706049189574,
MTHFR,0.190527272727273,6.167813678001091,6.273955736655397,5.763296136819648,5.698233764034921,
MTMR3,0.06986,6.954042936594141,6.897875515111735,6.98561776032841,7.090432738795789,
MTO1,0.0931466666666667,5.012972208588865,5.027500191182725,4.960033724066304,4.722928508256757,
MXD1,0.0475048,7.831804502076178,7.734339827056071,8.640254278196165,9.091522424809044,
MYBBP1A,0.127018181818182,5.3528197196908645,5.4164381281755904,5.042038047852311,4.8465010675453986,
NARS2,0.0962006557377049,2.942795685009216,3.17600280137387,2.1527030620152283,1.8837837125623733,
NEDD4L,0.138729078014184,3.106020240649792,3.0509884497234054,4.360732731040775,4.816470448408075,
NEK5,0.136568421052632,0.05625674600849407,0.2919457859512807,0.36877282962916924,-0.2733684548430943,
NFIL3,0.178788625592417,4.822921988178373,4.82638556726001,5.55520089675752,5.986734157756063,Y
NFKBIE,0.118224615384615,6.217807415822935,6.088032220112852,6.7418384537103355,6.981020371897303,Y
NFX1,0.040918,6.056166783069535,6.113034660419596,6.214194248118708,6.089038269625581,
NLRP3,0.196393574297189,5.380744119774821,5.546203427850698,5.911698036091444,6.594670512056439,
NLRP6,0.0947254237288136,0.18311786537654867,0.17287192058984874,0.2390366291196993,-0.9467502617536557,
NOL4L,0.158962874251497,4.2381837010810095,3.991868433834686,4.417983676437128,4.501700838400867,
NOL8,0.122033924050633,6.919388544817625,6.94255495001583,6.611670555271203,6.465252443601543,Y
NOP56,0.123282352941176,6.448358345735982,6.475204070729424,6.221804665677984,6.059994570820094,
NPIPA1,0.190527272727273,4.806938579475096,4.829669262720509,4.772696826132654,4.468876394019544,
NR4A2,0.127018181818182,1.2464353254047322,0.8444684480735609,6.051640609701778,6.516261624074798,
NRF1,0.0947254237288136,4.213853538137749,4.315834662130213,4.3388551807882205,4.120665148174106,
NUDT11,0.0947254237288136,-2.3839978753417954,-3.299077771649738,-2.2631144304294217,-1.907651716755165,
NUP210,0.158962874251497,4.937643006090162,4.7411303969221255,5.128773207050236,4.567586790454915,
OSBPL3,0.127018181818182,5.819164106745333,5.879529680160256,4.785136067983376,4.533742832995241,Y
OSBPL8,0.188318260869565,7.609322397179752,7.5857916434079655,8.134205015280529,8.310797587134633,
OXSR1,0.190527272727273,6.177070616156608,6.165702099672831,6.796369181865096,6.983177973826619,
P2RY13,0.12662125,-1.809241719624059,-0.7097127887571291,-2.0021738372731184,-2.5493604571799415,
PAPSS2,0.124195555555556,4.737346294771664,4.761922245367513,5.034720994836979,5.565625441020993,
PEF1,0.123282352941176,4.903101819068998,4.906991320529987,5.205775260366255,5.433578391872212,Y
PEX6,0.12662125,3.5055515208559673,3.7178149825009887,3.003147882631851,2.831917763475573,
PHC2,0.17465,6.184803668801416,6.260450870904373,5.6383038082752845,5.992899365542047,
PHF2,0.185017351598174,6.055767386418913,5.973294964587548,5.859275311813665,5.931254236160647,
PIK3CD,0.198832307692308,6.6865437898509565,6.720645820011653,6.012821567618889,5.672856718616569,Y
PNKD,0.012974,7.016296065062795,7.012430761712904,6.547581954249209,6.967447894226323,Y
PNRC1,0.136568421052632,7.384577196086857,7.141554256088552,9.793856774936833,10.010290428771931,Y
POLDIP3,0.188318260869565,5.971994642827503,5.899064269935643,6.056589899712359,6.12725772375217,Y
POLR3E,0.136568421052632,4.654276412214951,4.6896852758036705,4.537961357656204,4.271617533454931,Y
PPP2CA,0.127018181818182,7.4006411110640595,7.395484175385597,7.668307492406229,7.803826913026295,
PPP2R3C,0.155244444444444,5.520676098261402,5.50615031267617,5.6846896876254345,5.85907369491601,
PTCD3,0.130247457627119,5.594328497842415,5.659975149672109,5.449394921044028,5.307452115874834,
PTPN9,0.138729078014184,5.671741986270624,5.667887843849355,5.203691253553898,5.41474736562515,
PTTG1IP,0.181960930232558,7.684205410314642,7.780270463003193,6.867309098809527,7.146102905677791,
QRSL1,0.178788625592417,4.423356078314454,4.4900792231098,4.125701246546815,3.899128780083412,Y
RAB13,0.149034666666667,6.091902939026046,5.999761898444703,6.831196403073339,7.1406410062787815,
RAB3C,0.0947254237288136,-1.555276057199825,-2.444856244064764,-2.098179629495049,-1.499215477741654,
RAB5A,0.190257021276596,6.141063205992561,6.041128937274206,6.714233959109134,6.833707286612164,
RASGRP1,0.198832307692308,4.172034543989371,3.5243024259067632,5.530431136524551,5.267419316242615,
RGS16,0.127018181818182,-0.15770256028233526,-0.9724136658876374,2.4967580260500095,3.000535099530718,Y
RNASEH2B,0.130247457627119,4.785528190238727,4.9215344604252875,4.355855491878197,4.125628513486114,
RNF145,0.0947254237288136,5.446592469266862,5.405394250620488,6.53177206774356,6.853782348526037,
RNF166,0.197251764705882,4.885804487737722,4.964599933872424,3.7399813116117695,3.294886701142191,Y
RNF6,0.12662125,6.637734450027531,6.592983247491474,6.681781547381871,6.760480320287655,
RP2,0.138729078014184,6.399541016708562,6.456803818858985,6.735968380463178,7.032565800672936,Y
RPUSD3,0.188318260869565,4.3247106248510425,4.361401387453405,3.671516102639615,3.396317218010206,
RRP15,0.0406458181818182,3.9068325824903964,4.071779448226177,3.9012762903548066,3.699401285259838,
RUFY1,0.130247457627119,6.765180332486893,6.776372672576794,6.312087838383548,6.475438583873515,
S100A8,0.0947254237288136,5.216666003252963,5.269747122018402,4.669332199999906,5.09632868470666,
SAMSN1,0.122255,7.55987263074677,7.573702768251621,8.253229841501474,8.687408805912193,
SARNP,0.197251764705882,5.452003425528392,5.4833019443135536,5.399148629322457,5.573439364140676,
SEC62,0.196393574297189,8.16798824713689,8.140000438479351,8.164581065189685,8.322384448296717,
SECTM1,0.138729078014184,6.151618047698109,6.08372455035753,5.48838995792109,4.813213177828407,
SELPLG,0.127018181818182,7.115847600198199,7.223605197738565,6.063062417047234,5.6822133331658,Y
SERINC1,0.0947254237288136,7.6876015219386975,7.638508737462372,7.985548540862723,8.10292277660982,
SETSIP,0.101614545454545,-1.3625404554731186,-1.0309454750633977,-1.0117822488370884,-1.7521667266755485,
SF3A3,0.173705945945946,6.343440153676088,6.439078751378781,6.092911945244189,6.060045531016856,
SFXN2,0.170768888888889,0.5312766827187597,0.7795900255847725,0.975461620578118,0.2750173297531943,
SH2D3A,0.12662125,0.4426775863744805,-0.2826258488744801,2.001355670831551,2.366239374826056,
