geneName,protein.coding,abundant
AC005042.5,N,N
AC005048.1,N,N
AC005052.1,N,N
AC005062.2,N,N
AC005071.1,N,N
AC005071.2,N,N
AC005071.3,N,N
AC005071.4,N,N
AC005076.5,N,N
AC005082.1,N,N
AC005082.12,N,N
AC005083.1,N,N
AC005088.1,N,N
AC005104.3,N,N
AC005150.1,N,N
AC005150.2,N,N
AC005150.3,N,N
AC005152.3,N,N
AC005154.6,N,N
AC005158.1,N,N
AC005159.1,N,N
AC005160.3,N,N
AC005162.4,N,N
AC005162.5,N,N
AC005187.1,N,N
AC005197.2,N,N
AC005204.1,N,N
AC005215.1,N,N
AC005220.3,N,N
AC005224.2,N,N
AC005227.1,N,N
AC005229.1,N,N
AC005235.1,N,N
AC005237.4,N,N
AC005253.2,N,N
AC005253.4,N,N
AC005256.1,N,N
AC005262.2,N,N
AC005262.3,N,N
AC005264.2,N,N
AC005276.1,N,N
AC005281.1,N,N
AC005281.2,N,N
AC005284.1,N,N
AC005284.2,N,N
AC005288.1,N,N
AC005301.8,N,N
AC005304.1,N,N
AC005306.3,N,N
AC005307.1,N,N
AC005307.3,N,N
AC005324.6,N,N
AC005324.7,N,N
AC005329.7,N,N
AC005330.2,N,N
AC005339.1,N,N
AC005339.2,N,N
AC005355.1,N,N
AC005355.2,N,N
AC005355.3,N,N
AC005358.3,N,N
AC005363.11,N,N
AC005371.1,N,N
AC005375.1,N,N
AC005387.2,N,N
AC005387.3,N,N
AC005391.2,N,N
AC005392.13,N,N
AC005394.1,N,N
AC005412.1,N,N
AC005477.1,N,N
AC005480.1,N,N
AC005481.5,N,N
AC005487.2,N,N
AC005498.1,N,N
AC005498.3,N,N
AC005498.4,N,N
AC005513.1,N,N
AC005514.2,N,N
AC005518.2,N,N
AC005519.4,N,N
AC005522.7,N,N
AC005523.2,N,N
AC005523.3,N,N
AC005532.5,N,N
AC005534.8,N,N
AC005537.2,N,N
AC005538.1,N,N
AC005538.3,N,N
AC005538.5,N,N
AC005540.1,N,N
AC005540.3,N,N
AC005546.2,N,N
AC005549.1,N,N
AC005549.2,N,N
AC005550.3,N,N
AC005550.5,N,N
AC005562.1,N,N
AC005562.2,N,N
AC005578.3,N,N
AC005592.1,N,N
AC005592.2,N,N
AC005592.3,N,N
AC005593.2,N,N
AC005597.1,N,N
AC005599.1,N,N
AC005606.14,N,N
AC005606.15,N,N
AC005609.16,N,N
AC005609.17,N,N
AC005609.18,N,N
AC005609.19,N,N
AC005609.20,N,N
AC005614.3,N,N
AC005614.5,N,N
AC005616.1,N,N
AC005616.2,N,N
AC005618.6,N,N
AC005618.8,N,N
AC005618.9,N,N
AC005621.1,N,N
AC005624.2,N,N
AC005625.1,N,N
AC005631.1,N,N
AC005668.1,N,N
AC005682.5,N,N
AC005686.1,N,N
AC005701.1,N,N
AC005702.1,N,N
AC005702.2,N,N
AC005702.3,N,N
AC005702.4,N,N
AC005703.2,N,N
AC005703.3,N,N
AC005725.1,N,N
AC005740.5,N,N
AC005740.6,N,N
AC005753.1,N,N
AC005754.7,N,N
AC005754.8,N,N
AC005757.6,N,N
AC005757.7,N,N
AC005772.2,N,N
AC005775.2,N,N
AC005779.2,N,N
AC005780.1,N,N
AC005783.1,N,N
AC005785.2,N,N
AC005785.5,N,N
AC005786.5,N,N
AC005786.6,N,N
AC005786.7,N,N
AC005789.9,N,N
AC005796.2,N,N
AC005808.3,N,N
AC005828.1,N,N
AC005863.1,N,N
AC005863.2,N,N
AC005901.1,N,N
AC005915.1,N,N
AC005926.1,N,N
AC005932.1,N,N
AC005943.2,N,N
AC005943.6,N,N
AC005944.2,N,N
AC005954.3,N,N
AC005954.4,N,N
AC006000.5,N,N
AC006003.3,N,N
AC006004.1,N,N
AC006007.1,N,N
AC006019.1,N,N
AC006019.3,N,N
AC006019.4,N,N
AC006026.1,N,N
AC006026.13,N,N
AC006026.2,N,N
AC006037.2,N,N
AC006041.1,N,N
AC006042.6,N,N
