geneName,protein.coding,abundant
MOB1B,Y,Y
MOB2,Y,Y
MOB3A,Y,Y
MOB3B,Y,Y
MOB3C,Y,Y
MOB4,Y,Y
MOBP,Y,N
MOCOS,Y,Y
MOCS1,Y,Y
MOCS2,Y,Y
MOCS3,Y,Y
MOG,Y,N
MOGAT1,Y,N
MOGAT2,Y,N
MOGAT3,Y,N
MOGS,Y,Y
MOK,Y,Y
MON1A,Y,Y
MON1B,Y,Y
MON2,Y,Y
MORC1,Y,N
MORC1-AS1,N,N
MORC2,Y,Y
MORC2-AS1,N,N
MORC3,Y,Y
MORC4,Y,Y
MORF4L1,Y,Y
MORF4L2,Y,Y
MORF4L2-AS1,N,N
MORN1,Y,Y
MORN2,Y,Y
MORN3,Y,Y
MORN4,Y,Y
MORN5,Y,N
MOS,Y,N
MOSPD1,Y,Y
MOSPD2,Y,Y
MOSPD3,Y,Y
MOV10,Y,Y
MOV10L1,Y,N
MOXD1,Y,Y
MPC1,Y,Y
MPC2,Y,Y
MPDU1,Y,Y
MPDZ,Y,Y
MPEG1,Y,Y
MPG,Y,Y
MPHOSPH10,Y,Y
MPHOSPH6,Y,Y
MPHOSPH8,Y,Y
MPHOSPH9,Y,Y
MPI,Y,Y
MPL,Y,Y
MPLKIP,Y,Y
MPND,Y,Y
MPO,Y,Y
MPP1,Y,Y
MPP2,Y,N
MPP3,Y,Y
MPP4,Y,N
MPP5,Y,Y
MPP6,Y,Y
MPP7,Y,Y
MPPE1,Y,Y
MPPED1,Y,N
MPPED2,Y,Y
MPRIP,Y,Y
MPRIP-AS1,N,N
MPST,Y,Y
MPV17,Y,Y
MPV17L,Y,Y
MPV17L2,Y,Y
MPZ,Y,Y
MPZL1,Y,Y
MPZL2,Y,Y
MPZL3,Y,Y
MR1,Y,Y
MRAP,Y,N
MRAP2,Y,Y
MRAS,Y,Y
MRC1,Y,Y
MRC2,Y,Y
MRE11A,Y,Y
MREG,Y,Y
MRFAP1,Y,Y
MRFAP1L1,Y,Y
MRGBP,Y,Y
MRGPRD,Y,N
MRGPRE,Y,N
MRGPRF,Y,N
MRGPRF-AS1,N,N
MRGPRG,Y,N
MRGPRG-AS1,N,N
MRGPRX1,Y,N
MRGPRX2,Y,N
MRGPRX3,Y,N
MRGPRX4,Y,N
MRI1,Y,Y
MRLN,Y,N
MRM1,Y,Y
MRO,Y,Y
MROH1,Y,Y
MROH2A,Y,N
MROH2B,Y,N
MROH5,Y,N
MROH6,Y,Y
MROH7,Y,Y
MROH7-TTC4,N,N
MROH8,Y,Y
MROH9,Y,N
MRPL1,Y,Y
MRPL10,Y,Y
MRPL11,Y,Y
MRPL12,Y,Y
MRPL13,Y,Y
MRPL14,Y,Y
MRPL15,Y,Y
MRPL16,Y,Y
MRPL17,Y,Y
MRPL18,Y,Y
MRPL19,Y,Y
MRPL2,Y,Y
MRPL20,Y,Y
MRPL21,Y,Y
MRPL22,Y,Y
MRPL23,Y,Y
MRPL23-AS1,N,N
MRPL24,Y,Y
MRPL27,Y,Y
MRPL28,Y,Y
MRPL3,Y,Y
MRPL30,Y,Y
MRPL32,Y,Y
MRPL33,Y,Y
MRPL34,Y,Y
MRPL35,Y,Y
MRPL36,Y,Y
MRPL37,Y,Y
MRPL38,Y,Y
MRPL39,Y,Y
MRPL4,Y,Y
MRPL40,Y,Y
MRPL41,Y,Y
MRPL42,Y,Y
MRPL43,Y,Y
MRPL44,Y,Y
MRPL45,Y,Y
MRPL46,Y,Y
MRPL47,Y,Y
MRPL48,Y,Y
MRPL49,Y,Y
MRPL50,Y,Y
MRPL51,Y,Y
MRPL52,Y,Y
MRPL53,Y,Y
MRPL54,Y,Y
MRPL55,Y,Y
MRPL57,Y,Y
MRPL9,Y,Y
MRPS10,Y,Y
MRPS11,Y,Y
MRPS12,Y,Y
MRPS14,Y,Y
MRPS15,Y,Y
MRPS16,Y,Y
MRPS17,Y,Y
MRPS18A,Y,Y
MRPS18B,Y,Y
MRPS18C,Y,Y
MRPS2,Y,Y
MRPS21,Y,Y
MRPS22,Y,Y
MRPS23,Y,Y
MRPS24,Y,Y
MRPS25,Y,Y
MRPS26,Y,Y
MRPS27,Y,Y
MRPS28,Y,Y
MRPS30,Y,Y
MRPS31,Y,Y
MRPS33,Y,Y
MRPS34,Y,Y
MRPS35,Y,Y
MRPS36,Y,Y
MRPS5,Y,Y
MRPS6,Y,Y
MRPS7,Y,Y
MRPS9,Y,Y
MRRF,Y,Y
MRS2,Y,Y
MRTO4,Y,Y
MRVI1,Y,Y
MRVI1-AS1,N,N
MS4A1,Y,Y
MS4A10,Y,N
MS4A12,Y,N
MS4A13,Y,N
MS4A14,Y,Y
MS4A15,Y,N
MS4A18,Y,N
MS4A2,Y,Y
MS4A3,Y,N
MS4A4A,Y,Y
MS4A4E,Y,N
MS4A5,Y,N
MS4A6A,Y,Y
MS4A6E,Y,Y
MS4A7,Y,Y
MS4A8,Y,N
MSANTD1,Y,Y
MSANTD2,Y,Y
MSANTD3,Y,Y
MSANTD3-TMEFF1,N,N
MSANTD4,Y,Y
MSC,Y,Y
MSC-AS1,N,N
MSGN1,Y,N
MSH2,Y,Y
MSH3,Y,Y
MSH4,Y,Y
MSH5,Y,Y
MSH5-SAPCD1,N,N
MSH6,Y,Y
MSI1,Y,N
MSI2,Y,Y
MSL1,Y,Y
MSL2,Y,Y
MSL3,Y,Y
MSLN,Y,N
MSLNL,N,N
MSMB,Y,N
MSMO1,Y,Y
MSMP,Y,N
MSN,Y,Y
MSR1,Y,Y
MSRA,Y,Y
MSRB1,Y,Y
MSRB2,Y,Y
MSRB3,Y,Y
MSS51,Y,Y
MST1,Y,Y
MST1R,Y,N
MSTN,Y,N
MSTO1,Y,Y
MSX1,Y,N
MSX2,Y,N
MT-ATP6,Y,Y
MT-ATP8,Y,Y
MT-CO1,Y,Y
MT-CO2,Y,Y
MT-CO3,Y,Y
MT-CYB,Y,Y
MT-ND1,Y,Y
MT-ND2,Y,Y
MT-ND3,Y,Y
MT-ND4,Y,Y
MT-ND4L,Y,Y
MT-ND5,Y,Y
MT-ND6,Y,Y
MT-RNR1,N,N
MT-RNR2,N,N
MT-TA,N,N
MT-TC,N,N
MT-TD,N,N
MT-TE,N,N
MT-TF,N,N
MT-TG,N,N
MT-TH,N,N
MT-TI,N,N
MT-TK,N,N
MT-TL1,N,N
MT-TL2,N,N
MT-TM,N,N
MT-TN,N,N
MT-TP,N,N
MT-TQ,N,N
MT-TR,N,N
MT-TS1,N,N
MT-TS2,N,N
MT-TT,N,N
MT-TV,N,N
MT-TW,N,N
MT-TY,N,N
MT1A,Y,N
MT1B,Y,N
MT1E,Y,Y
MT1F,Y,Y
MT1G,Y,Y
MT1H,Y,N
MT1HL1,Y,N
MT1M,Y,N
MT1X,Y,Y
MT2A,Y,Y
MT3,Y,N
MT4,Y,N
MTA1,Y,Y
MTA2,Y,Y
MTA3,Y,Y
MTAP,Y,Y
MTBP,Y,Y
MTCH1,Y,Y
MTCH2,Y,Y
MTCL1,Y,Y
MTCP1,Y,Y
MTDH,Y,Y
MTERF1,Y,Y
MTERF2,Y,Y
MTERF3,Y,Y
MTERF4,Y,Y
MTF1,Y,Y
MTF2,Y,Y
MTFMT,Y,Y
MTFP1,Y,Y
MTFR1,Y,Y
MTFR1L,Y,Y
MTFR2,Y,Y
MTG1,Y,Y
MTG2,Y,Y
MTHFD1,Y,Y
MTHFD1L,Y,Y
MTHFD2,Y,Y
MTHFD2L,Y,Y
MTHFR,Y,Y
MTHFS,Y,Y
MTHFSD,Y,Y
MTIF2,Y,Y
MTIF3,Y,Y
MTL5,Y,Y
MTM1,Y,Y
MTMR1,Y,Y
MTMR10,Y,Y
MTMR11,Y,Y
MTMR12,Y,Y
MTMR14,Y,Y
MTMR2,Y,Y
MTMR3,Y,Y
MTMR4,Y,Y
MTMR6,Y,Y
MTMR7,Y,Y
MTMR8,Y,Y
MTMR9,Y,Y
MTNR1A,Y,N
MTNR1B,Y,N
MTO1,Y,Y
MTOR,Y,Y
MTOR-AS1,N,N
MTPAP,Y,Y
MTPN,Y,Y
MTR,Y,Y
MTRF1,Y,Y
MTRF1L,Y,Y
MTRNR2L1,Y,Y
MTRNR2L10,Y,N
MTRNR2L11,N,N
MTRNR2L12,N,N
MTRNR2L13,N,N
MTRNR2L3,Y,Y
MTRNR2L4,Y,N
MTRNR2L5,Y,N
MTRNR2L6,Y,Y
MTRNR2L7,Y,N
MTRNR2L8,Y,Y
MTRR,Y,Y
MTSS1,Y,Y
MTSS1L,Y,Y
MTTP,Y,N
MTURN,Y,Y
MTUS1,Y,Y
MTUS2,Y,Y
MTUS2-AS1,N,N
MTUS2-AS2,N,N
MTX1,Y,Y
MTX2,Y,Y
MTX3,Y,Y
MUC1,Y,Y
MUC12,Y,Y
MUC13,Y,N
MUC15,Y,N
MUC16,Y,Y
MUC17,Y,N
MUC19,Y,N
MUC2,Y,N
MUC20,Y,Y
MUC21,Y,N
MUC22,Y,N
MUC3A,Y,Y
MUC4,Y,Y
MUC5AC,Y,N
MUC5B,Y,Y
MUC6,Y,Y
MUC7,Y,N
MUCL1,Y,N
MUL1,Y,Y
MUM1,Y,Y
MUM1L1,Y,N
MURC,Y,Y
MUS81,Y,Y
MUSK,Y,N
MUSTN1,Y,N
MUT,Y,Y
MUTYH,Y,Y
MVB12A,Y,Y
MVB12B,Y,Y
MVD,Y,Y
MVK,Y,Y
MVP,Y,Y
MX1,Y,Y
MX2,Y,Y
MXD1,Y,Y
MXD3,Y,Y
MXD4,Y,Y
MXI1,Y,Y
MXRA5,Y,N
MXRA7,Y,Y
MXRA8,Y,Y
MYADM,Y,Y
MYADML2,Y,N
MYB,Y,Y
MYB-AS1,N,N
MYBBP1A,Y,Y
MYBL1,Y,Y
MYBL2,Y,Y
MYBPC1,Y,N
MYBPC2,Y,N
MYBPC3,Y,Y
MYBPH,Y,Y
MYBPHL,Y,N
MYC,Y,Y
MYCBP,Y,Y
MYCBP2,Y,Y
MYCBP2-AS1,N,N
MYCBP2-AS2,N,N
MYCBPAP,Y,Y
MYCL,Y,Y
MYCN,Y,Y
MYCNOS,N,N
MYCNUT,N,N
MYCT1,Y,Y
MYD88,Y,Y
MYDGF,Y,Y
MYEF2,Y,Y
MYEOV,Y,Y
MYEOV2,Y,Y
MYF5,Y,N
MYF6,Y,N
MYH1,Y,N
MYH10,Y,Y
MYH11,Y,Y
MYH13,Y,N
MYH14,Y,N
MYH15,Y,N
MYH2,Y,N
MYH3,Y,Y
MYH4,Y,N
MYH6,Y,N
MYH7,Y,N
MYH7B,Y,Y
MYH8,Y,N
MYH9,Y,Y
MYHAS,N,N
MYL1,Y,N
MYL10,Y,N
MYL12A,Y,Y
MYL12B,Y,Y
MYL2,Y,N
MYL3,Y,N
MYL4,Y,N
MYL5,Y,Y
MYL6,Y,Y
MYL6B,Y,Y
MYL7,Y,N
MYL9,Y,Y
MYLIP,Y,Y
MYLK,Y,Y
MYLK-AS1,N,N
MYLK-AS2,N,N
MYLK2,Y,N
MYLK3,Y,Y
MYLK4,Y,Y
MYLPF,Y,N
MYNN,Y,Y
MYO10,Y,Y
MYO15A,Y,Y
MYO15B,Y,Y
MYO16,Y,Y
MYO16-AS1,N,N
MYO16-AS2,N,N
MYO18A,Y,Y
MYO18B,Y,Y
MYO19,Y,Y
MYO1A,Y,Y
MYO1B,Y,Y
MYO1C,Y,Y
MYO1D,Y,Y
MYO1E,Y,Y
MYO1F,Y,Y
MYO1G,Y,Y
MYO1H,Y,Y
MYO3A,Y,N
MYO3B,Y,Y
MYO5A,Y,Y
MYO5B,Y,Y
MYO5C,Y,Y
MYO6,Y,Y
MYO7A,Y,Y
MYO7B,Y,Y
MYO9A,Y,Y
MYO9B,Y,Y
MYOC,Y,N
MYOCD,Y,N
MYOD1,Y,N
MYOF,Y,Y
MYOG,Y,N
MYOM1,Y,Y
MYOM2,Y,Y
MYOM3,Y,N
MYOT,Y,Y
MYOZ1,Y,N
MYOZ2,Y,N
MYOZ3,Y,Y
MYPN,Y,Y
MYPOP,Y,Y
MYRF,Y,Y
MYRFL,Y,N
MYRIP,Y,Y
MYSM1,Y,Y
MYT1,Y,N
MYT1L,Y,N
MYT1L-AS1,N,N
MYZAP,Y,N
MZB1,Y,Y
MZF1,Y,Y
MZF1-AS1,N,N
MZT1,Y,Y
MZT2A,Y,Y
MZT2B,Y,Y
N4BP1,Y,Y
N4BP2,Y,Y
N4BP2L1,Y,Y
N4BP2L2,Y,Y
N4BP2L2-IT2,N,N
N4BP3,Y,Y
N6AMT1,Y,Y
N6AMT2,Y,Y
NAA10,Y,Y
NAA11,Y,N
NAA15,Y,Y
NAA16,Y,Y
NAA20,Y,Y
NAA25,Y,Y
NAA30,Y,Y
NAA35,Y,Y
NAA38,Y,Y
NAA40,Y,Y
NAA50,Y,Y
NAA60,Y,Y
NAAA,Y,Y
NAALAD2,Y,Y
NAALADL1,Y,Y
NAALADL2,Y,Y
NAALADL2-AS1,N,N
NAALADL2-AS2,N,N
NAALADL2-AS3,N,N
NAB1,Y,Y
NAB2,Y,Y
NABP1,Y,Y
NABP2,Y,Y
NACA,Y,Y
NACA2,Y,N
NACAD,Y,Y
NACC1,Y,Y
NACC2,Y,Y
NADK,Y,Y
NADK2,Y,Y
NADK2-AS1,N,N
NADSYN1,Y,Y
NAE1,Y,Y
NAF1,Y,Y
NAGA,Y,Y
NAGK,Y,Y
NAGLU,Y,Y
NAGPA,Y,Y
NAGS,Y,Y
NAIF1,Y,Y
NAIP,Y,Y
NALCN,Y,N
NALCN-AS1,N,N
NALT1,N,N
NAMA,N,N
NAMA_1,N,N
NAMA_2,N,N
NAMPT,Y,Y
NANOG,Y,N
NANOGNB,Y,N
NANOGP11,N,N
NANOGP8,Y,N
NANOS1,Y,Y
NANOS2,Y,N
NANOS3,Y,Y
NANP,Y,Y
NANS,Y,Y
NAP1L1,Y,Y
NAP1L2,Y,Y
NAP1L3,Y,Y
NAP1L4,Y,Y
NAP1L5,Y,Y
NAP1L6,N,N
NAPA,Y,Y
NAPA-AS1,N,N
NAPB,Y,Y
NAPEPLD,Y,Y
NAPG,Y,Y
NAPRT,Y,Y
NAPSA,Y,Y
NARF,Y,Y
NARF-IT1,N,N
NARFL,Y,Y
NARS,Y,Y
NARS2,Y,Y
NASP,Y,Y
NAT1,Y,Y
NAT10,Y,Y
NAT14,Y,Y
NAT16,Y,N
NAT2,Y,N
NAT6,Y,Y
NAT8,Y,Y
NAT8B,Y,N
NAT8L,Y,Y
NAT9,Y,Y
NATD1,Y,Y
NAV1,Y,Y
NAV2,Y,Y
NAV2-AS1,N,N
NAV2-AS2,N,N
NAV2-AS3,N,N
NAV2-AS4,N,N
NAV2-AS5,N,N
NAV2-IT1,N,N
NAV3,Y,Y
NBAS,Y,Y
NBAT1,N,N
NBEA,Y,Y
NBEAL1,Y,Y
NBEAL2,Y,Y
NBL1,Y,Y
NBN,Y,Y
NBPF1,Y,Y
NBPF10,Y,Y
NBPF11,Y,Y
NBPF12,Y,Y
NBPF14,Y,Y
NBPF15,Y,Y
NBPF19,Y,Y
NBPF20,Y,Y
NBPF26,Y,Y
NBPF3,Y,Y
NBPF4,Y,N
NBPF6,Y,N
NBPF9,Y,Y
NBR1,Y,Y
NCALD,Y,Y
NCAM1,Y,Y
NCAM1-AS1,N,N
NCAM2,Y,N
NCAN,Y,N
NCAPD2,Y,Y
NCAPD3,Y,Y
NCAPG,Y,Y
NCAPG2,Y,Y
NCAPH,Y,Y
NCAPH2,Y,Y
NCBP1,Y,Y
NCBP2,Y,Y
NCBP2-AS1,N,N
NCBP2-AS2,Y,Y
NCBP2L,Y,N
NCBP3,Y,Y
NCCRP1,Y,Y
NCDN,Y,Y
NCEH1,Y,Y
NCF1,Y,Y
NCF2,Y,Y
NCF4,Y,Y
NCK1,Y,Y
NCK1-AS1,N,N
NCK2,Y,Y
NCKAP1,Y,Y
NCKAP1L,Y,Y
NCKAP5,Y,N
NCKAP5-IT1,N,N
NCKAP5L,Y,Y
NCKIPSD,Y,Y
NCL,Y,Y
NCLN,Y,Y
NCMAP,Y,N
NCOA1,Y,Y
NCOA2,Y,Y
NCOA3,Y,Y
NCOA4,Y,Y
NCOA5,Y,Y
NCOA6,Y,Y
NCOA7,Y,Y
NCOA7-AS1,N,N
NCOR1,Y,Y
NCOR2,Y,Y
NCR1,Y,Y
NCR2,Y,N
NCR3,Y,Y
NCR3LG1,Y,Y
NCRNA00171,N,N
NCRNA00250,N,N
NCRUPAR_1,N,N
NCRUPAR_2,N,N
NCS1,Y,Y
NCSTN,Y,Y
NDC1,Y,Y
NDC80,Y,Y
NDE1,Y,Y
NDEL1,Y,Y
NDFIP1,Y,Y
NDFIP2,Y,Y
NDFIP2-AS1,N,N
NDN,Y,Y
NDNF,Y,N
NDNL2,Y,Y
NDOR1,Y,Y
NDP,Y,Y
NDP-AS1,N,N
NDRG1,Y,Y
NDRG2,Y,Y
NDRG3,Y,Y
NDRG4,Y,Y
NDST1,Y,Y
NDST2,Y,Y
NDST3,Y,N
NDST4,Y,N
NDUFA1,Y,Y
NDUFA10,Y,Y
NDUFA11,Y,Y
NDUFA12,Y,Y
NDUFA13,Y,Y
NDUFA2,Y,Y
NDUFA3,Y,Y
NDUFA4,Y,Y
NDUFA4L2,Y,Y
NDUFA5,Y,Y
NDUFA6,Y,Y
NDUFA6-AS1,N,N
NDUFA7,Y,Y
NDUFA8,Y,Y
NDUFA9,Y,Y
NDUFAB1,Y,Y
NDUFAF1,Y,Y
NDUFAF2,Y,Y
NDUFAF3,Y,Y
NDUFAF4,Y,Y
NDUFAF5,Y,Y
NDUFAF6,Y,Y
NDUFAF7,Y,Y
NDUFB1,Y,Y
NDUFB10,Y,Y
NDUFB11,Y,Y
NDUFB2,Y,Y
NDUFB2-AS1,N,N
NDUFB3,Y,Y
NDUFB4,Y,Y
NDUFB5,Y,Y
NDUFB6,Y,Y
NDUFB7,Y,Y
NDUFB8,Y,Y
NDUFB9,Y,Y
NDUFC1,Y,Y
NDUFC2,Y,Y
NDUFC2-KCTD14,N,N
NDUFS1,Y,Y
NDUFS2,Y,Y
NDUFS3,Y,Y
NDUFS4,Y,Y
NDUFS5,Y,Y
NDUFS6,Y,Y
NDUFS7,Y,Y
NDUFS8,Y,Y
NDUFV1,Y,Y
NDUFV2,Y,Y
NDUFV2-AS1,N,N
NDUFV3,Y,Y
NEAT1,N,N
NEAT1_1,N,N
NEAT1_2,N,N
NEAT1_3,N,N
NEB,Y,Y
NEBL,Y,Y
NEBL-AS1,N,N
NECAB1,Y,Y
NECAB2,Y,N
NECAB3,Y,Y
NECAP1,Y,Y
NECAP2,Y,Y
NEDD1,Y,Y
NEDD4,Y,Y
NEDD4L,Y,Y
NEDD8,Y,Y
NEDD8-MDP1,N,N
NEDD9,Y,Y
NEFH,Y,Y
NEFL,Y,Y
NEFM,Y,Y
NEGR1,Y,N
NEGR1-IT1,N,N
NEIL1,Y,Y
NEIL2,Y,Y
NEIL3,Y,Y
NEK1,Y,Y
NEK10,Y,Y
NEK11,Y,Y
NEK2,Y,Y
NEK3,Y,Y
NEK4,Y,Y
NEK5,Y,Y
NEK6,Y,Y
NEK7,Y,Y
NEK8,Y,Y
NEK9,Y,Y
NELFA,Y,Y
NELFB,Y,Y
NELFCD,Y,Y
NELFE,Y,Y
NELL1,Y,N
NELL2,Y,Y
NEMF,Y,Y
NEMP1,Y,Y
NEMP2,Y,Y
NENF,Y,Y
NEO1,Y,Y
NES,Y,Y
NET1,Y,Y
NETO1,Y,N
NETO2,Y,Y
NEU1,Y,Y
NEU2,Y,N
NEU3,Y,Y
NEU4,Y,Y
NEURL1,Y,Y
NEURL1-AS1,N,N
NEURL1B,Y,Y
NEURL2,Y,Y
NEURL3,Y,Y
NEURL4,Y,Y
NEUROD1,Y,N
NEUROD2,Y,N
NEUROD4,Y,N
NEUROD6,Y,N
NEUROG1,Y,N
NEUROG2,Y,N
NEUROG3,Y,N
NEXN,Y,Y
NEXN-AS1,N,N
NF1,Y,Y
NF2,Y,Y
NFAM1,Y,Y
NFASC,Y,Y
NFAT5,Y,Y
NFATC1,Y,Y
NFATC2,Y,Y
NFATC2IP,Y,Y
NFATC3,Y,Y
NFATC4,Y,N
NFE2,Y,Y
NFE2L1,Y,Y
NFE2L2,Y,Y
NFE2L3,Y,Y
NFE4,Y,N
NFIA,Y,Y
NFIA-AS1,N,N
NFIA-AS2,N,N
NFIB,Y,N
NFIC,Y,Y
NFIL3,Y,Y
NFIX,Y,Y
NFKB1,Y,Y
NFKB2,Y,Y
NFKBIA,Y,Y
NFKBIB,Y,Y
NFKBID,Y,Y
NFKBIE,Y,Y
NFKBIL1,Y,Y
NFKBIZ,Y,Y
NFRKB,Y,Y
NFS1,Y,Y
NFU1,Y,Y
NFX1,Y,Y
NFXL1,Y,Y
NFYA,Y,Y
NFYB,Y,Y
NFYC,Y,Y
NFYC-AS1,N,N
NGB,Y,N
NGDN,Y,Y
NGEF,Y,N
NGF,Y,N
NGFR,Y,Y
NGFRAP1,Y,Y
NGLY1,Y,Y
NGRN,Y,Y
NHEG1,N,N
NHEJ1,Y,Y
NHLH1,Y,N
NHLH2,Y,N
NHLRC1,Y,Y
NHLRC2,Y,Y
NHLRC3,Y,Y
NHLRC4,Y,Y
NHP2,Y,Y
NHS,Y,Y
NHS-AS1,N,N
NHSL1,Y,Y
NHSL2,Y,Y
NICN1,Y,Y
NID1,Y,Y
NID2,Y,Y
NIF3L1,Y,Y
NIFK,Y,Y
NIFK-AS1,N,N
NIM1K,Y,Y
NIN,Y,Y
NINJ1,Y,Y
NINJ2,Y,Y
NINL,Y,Y
NIP7,Y,Y
NIPA1,Y,Y
NIPA2,Y,Y
NIPAL1,Y,Y
NIPAL2,Y,Y
NIPAL3,Y,Y
NIPAL4,Y,Y
NIPBL,Y,Y
NIPSNAP1,Y,Y
NIPSNAP3A,Y,Y
NIPSNAP3B,Y,Y
NISCH,Y,Y
NIT1,Y,Y
NIT2,Y,Y
NKAIN1,Y,N
NKAIN2,Y,N
NKAIN3,Y,N
NKAIN4,Y,N
NKAP,Y,Y
NKAPL,Y,Y
NKD1,Y,Y
NKD2,Y,N
NKG7,Y,Y
NKILA,N,N
NKIRAS1,Y,Y
NKIRAS2,Y,Y
NKPD1,Y,Y
NKRF,Y,Y
NKTR,Y,Y
NKX1-1,Y,N
NKX1-2,Y,N
NKX2-1,Y,N
NKX2-1-AS1,N,N
NKX2-2,Y,N
NKX2-2-AS1,N,N
Nkx2-2as,N,N
NKX2-3,Y,N
NKX2-4,Y,N
NKX2-5,Y,N
NKX2-6,Y,N
NKX2-8,Y,N
NKX3-1,Y,Y
NKX3-2,Y,N
NKX6-1,Y,N
NKX6-2,Y,Y
NKX6-3,Y,N
NLE1,Y,Y
NLGN1,Y,N
NLGN1-AS1,N,N
NLGN2,Y,Y
NLGN3,Y,Y
NLGN4X,Y,N
NLGN4Y,Y,Y
NLGN4Y-AS1,N,N
NLK,Y,Y
NLN,Y,Y
NLRC3,Y,Y
NLRC4,Y,Y
NLRC5,Y,Y
NLRP1,Y,Y
NLRP10,Y,N
NLRP11,Y,N
NLRP12,Y,Y
NLRP13,Y,N
NLRP14,Y,N
NLRP2,Y,Y
NLRP2P,Y,N
NLRP3,Y,Y
NLRP4,Y,N
NLRP5,Y,N
NLRP6,Y,Y
NLRP7,Y,Y
NLRP8,Y,N
NLRP9,Y,N
NLRX1,Y,Y
NMB,Y,Y
NMBR,Y,N
NMD3,Y,Y
NME1,Y,Y
NME1-NME2,N,N
NME2,Y,Y
NME3,Y,Y
NME4,Y,Y
NME5,Y,N
NME6,Y,Y
NME7,Y,Y
NME8,Y,Y
NME9,Y,Y
NMI,Y,Y
NMNAT1,Y,Y
NMNAT2,Y,Y
NMNAT3,Y,Y
NMRAL1,Y,Y
NMRK1,Y,Y
NMRK2,Y,N
NMS,Y,N
NMT1,Y,Y
NMT2,Y,Y
NMU,Y,N
NMUR1,Y,Y
NMUR2,Y,N
NNAT,Y,Y
NNMT,Y,N
NNT,Y,Y
NNT-AS1,N,N
NOA1,Y,Y
NOB1,Y,Y
NOBOX,Y,N
NOC2L,Y,Y
NOC3L,Y,Y
NOC4L,Y,Y
NOCT,Y,Y
NOD1,Y,Y
NOD2,Y,Y
NODAL,Y,Y
NOG,Y,Y
NOL10,Y,Y
NOL11,Y,Y
NOL12,Y,Y
NOL3,Y,Y
NOL4,Y,N
NOL4L,Y,Y
NOL6,Y,Y
NOL7,Y,Y
NOL8,Y,Y
NOL9,Y,Y
NOLC1,Y,Y
NOM1,Y,Y
NOMO1,Y,Y
NOMO2,Y,Y
NOMO3,Y,Y
NONO,Y,Y
NOP10,Y,Y
NOP14,Y,Y
NOP14-AS1,N,N
NOP16,Y,Y
NOP2,Y,Y
NOP56,Y,Y
NOP58,Y,Y
NOP9,Y,Y
NOS1,Y,Y
NOS1AP,Y,Y
NOS2,Y,N
NOS3,Y,N
NOSIP,Y,Y
NOSTRIN,Y,N
NOTCH1,Y,Y
NOTCH2,Y,Y
NOTCH2NL,Y,Y
NOTCH3,Y,Y
NOTCH4,Y,Y
NOTO,Y,N
NOTUM,Y,N
NOV,Y,Y
NOVA1,Y,N
NOVA1-AS1,N,N
NOVA2,Y,N
NOX1,Y,N
NOX3,Y,N
NOX4,Y,N
NOX5,Y,N
NOXA1,Y,Y
NOXO1,Y,N
NOXRED1,Y,Y
NPAP1,Y,N
NPAS1,Y,N
NPAS2,Y,Y
NPAS3,Y,N
NPAS4,Y,N
NPAT,Y,Y
NPB,Y,Y
NPBWR1,Y,N
NPBWR2,Y,N
NPC1,Y,Y
NPC1L1,Y,N
NPC2,Y,Y
NPDC1,Y,Y
NPEPL1,Y,Y
NPEPPS,Y,Y
NPFF,Y,N
NPFFR1,Y,N
NPFFR2,Y,N
NPHP1,Y,Y
NPHP3,Y,Y
NPHP3-ACAD11,N,N
NPHP3-AS1,N,N
NPHP4,Y,Y
NPHS1,Y,N
NPHS2,Y,N
NPIPA1,Y,Y
NPIPA2,Y,N
NPIPA3,Y,Y
NPIPA5,Y,Y
NPIPA7,Y,Y
NPIPA8,Y,Y
NPIPB11,Y,Y
NPIPB15,Y,Y
NPIPB3,Y,Y
NPIPB4,Y,Y
NPIPB5,Y,Y
NPIPB6,Y,Y
NPIPB7,N,N
NPIPB8,Y,N
NPIPB9,Y,Y
NPL,Y,Y
NPLOC4,Y,Y
NPM1,Y,Y
NPM2,Y,N
NPM3,Y,Y
NPNT,Y,N
NPPA,Y,Y
NPPA-AS1,N,N
NPPA-AS1_1,N,N
NPPA-AS1_2,N,N
NPPA-AS1_3,N,N
NPPB,Y,N
NPPC,Y,N
NPR1,Y,Y
NPR2,Y,Y
NPR3,Y,Y
NPRL2,Y,Y
NPRL3,Y,Y
NPS,Y,N
NPSR1,Y,N
NPSR1-AS1,N,N
NPTN,Y,Y
NPTN-IT1,N,N
NPTX1,Y,Y
NPTX2,Y,Y
NPTXR,Y,Y
NPVF,Y,N
NPW,Y,N
NPY,Y,N
NPY1R,Y,N
NPY2R,Y,N
NPY4R,Y,N
NPY5R,Y,N
NQO1,Y,Y
NQO2,Y,Y
NR0B1,Y,N
NR0B2,Y,N
NR1D1,Y,Y
NR1D2,Y,Y
NR1H2,Y,Y
NR1H3,Y,Y
NR1H4,Y,N
NR1I2,Y,N
NR1I3,Y,Y
NR2C1,Y,Y
NR2C2,Y,Y
NR2C2AP,Y,Y
NR2E1,Y,N
NR2E3,Y,N
NR2F1,Y,N
NR2F1-AS1,N,N
NR2F2,Y,N
NR2F2-AS1,N,N
NR2F6,Y,Y
NR3C1,Y,Y
NR3C2,Y,Y
NR4A1,Y,Y
NR4A2,Y,Y
